,distance_to_camera
0,0.6151528436930843
1,0.5684797175476588
2,0.5666750018491521
3,0.5705872959539798
4,0.5758808655365298
5,0.5874545743022411
6,0.5846942792578191
7,0.6256833779980937
8,0.565396906724112
9,0.5436230136240782
10,0.5545000380196058
11,0.5746024341377485
12,0.6315251574643138
13,0.5894656756090076
14,0.6497772347043923
15,0.6495815234875034
16,0.5745029617579421
17,0.6187924797423343
18,0.6091555276667345
19,0.5999721686064663
20,0.610646251137805
21,0.6357615834651221
22,0.5842207502955997
23,0.6665164667548005
24,0.601231977527749
25,0.6381379242964151
26,0.5740184296929777
27,0.6120495771300132
28,0.5971553985625766
29,0.5205270283829193
30,0.5953350554949074
31,0.6338696946396516
32,0.5817130403719256
33,0.6547894987129057
34,0.5827205639994433
35,0.5697644595038631
36,0.564483388391443
37,0.5581988525111201
38,0.6142412422440245
39,0.60265679926129
40,0.5552822967154823
41,0.5644782124447889
42,0.6181645034379624
43,0.5652232776865133
44,0.5722860781019558
45,0.6483244328295135
46,0.5796164960622833
47,0.6178571260905263
48,0.5436309893624054
49,0.5869690525488208
50,0.5150418604140344
51,0.5932844776118747
52,0.5560554108779322
53,0.6306612414791289
54,0.6425654461024376
55,0.5872804266874568
56,0.6375200447175865
57,0.6250693300576857
58,0.5524866629827643
59,0.5519345308461242
60,0.5898983115105647
61,0.5734405947515302
62,0.5397573783660429
63,0.5517200192344051
64,0.6328205344123189
65,0.6355350341559313
66,0.5706397678110325
67,0.6013370231269546
68,0.583710895039035
69,0.5081928440691041
70,0.5127893362673448
71,0.5280177248832685
72,0.6161322707082979
73,0.5618242161733641
74,0.6306630287783892
75,0.6158504418440367
76,0.534023664134532
77,0.5331393964714026
78,0.5827291088459414
79,0.5287487195961754
80,0.5354697066549555
81,0.5430393724419585
82,0.5474795549537804
83,0.5589067314707399
84,0.5704665933033286
85,0.5531272756551171
86,0.58661600396767
87,0.509008155801217
88,0.5640361537149651
89,0.5653927977148154
90,0.5743996033989376
91,0.5199858575060093
92,0.5918898046956312
93,0.5982880833753458
94,0.5473140499647488
95,0.5421862463448133
96,0.5858432924199639
97,0.5146022519407427
98,0.5715895708344558
99,0.5556623610416082
100,0.5720538136266891
101,0.52390141219972
102,0.5341781348660343
103,0.6165112978017728
104,0.609830362761136
105,0.5326280096118843
106,0.5689700999730003
107,0.5501393574578304
108,0.48132264572040306
109,0.4906332968031727
110,0.5002207694018073
111,0.5060725209510207
112,0.5644090238033013
113,0.5105989955350131
114,0.570337020857311
115,0.5745189877310157
116,0.5570570048356086
117,0.4837246996358447
118,0.48081466947326823
119,0.5406719750067142
120,0.5424422317932424
121,0.5428222766545038
122,0.47283576785881115
123,0.4743174847394802
124,0.5471762659745357
125,0.4795139170889388
126,0.47715380324147466
127,0.4744915799367496
128,0.5249109939535137
129,0.46567145677329524
130,0.47531518659232347
131,0.4759823622243146
132,0.4786166998446945
133,0.5250044062944905
134,0.4758394762200263
135,0.4728115569045693
136,0.5119849865653
137,0.46352396917665784
138,0.510178655210653
139,0.5067837917933382
140,0.4547686068852878
141,0.5103300469881088
142,0.5122699237706168
143,0.5137309821991497
144,0.4551756950148362
145,0.4570904486074252
146,0.4581005548752816
147,0.5073064699273843
148,0.4461360571480382
149,0.44593343378112565
150,0.4510101688682968
151,0.4564006935539346
152,0.4609729145221251
153,0.49921199970316105
154,0.45887513829979226
155,0.5027303540694658
156,0.4588625190262349
157,0.49757143028659384
158,0.48173176571288356
159,0.43919045680685925
160,0.4355484910904178
161,0.4802980590118747
162,0.4235980700415375
163,0.4802314901909825
164,0.4259994702337896
165,0.4840404743363335
166,0.4263843368614921
167,0.42079880655925184
168,0.4667762239025944
169,0.466731394411489
170,0.4205719221429329
171,0.4280627711067504
172,0.4694137200850708
173,0.47341789480522783
174,0.4771263217192109
175,0.4356852805037373
176,0.42707805676475447
177,0.4122928315071856
178,0.4105554982158356
179,0.45232673778630783
180,0.40292976659519825
181,0.3963452497749133
182,0.45035082459762277
183,0.44879451904667134
184,0.44761101292238725
185,0.44422890565164114
186,0.3857485151993429
187,0.38906127726686934
188,0.38820398277532925
189,0.43621713671744583
190,0.39509464613207707
191,0.44322445854222164
192,0.40065023944489425
193,0.4497514110791402
194,0.45188626019923345
195,0.44868359407732633
196,0.382656612447729
197,0.37869585380370274
198,0.3774107217949136
199,0.36951047683837446
200,0.4201049855583373
201,0.419469505005717
202,0.4161409362199181
203,0.4151108449490047
204,0.4117916972604421
205,0.40670558541802687
206,0.3534626241016138
207,0.40785806143704295
208,0.3571188353860775
209,0.3592067567698973
210,0.36540669009210397
211,0.4154922648645203
212,0.4162364594947975
213,0.42085253307254317
214,0.37252661752209604
215,0.41115531303010505
216,0.4001270484184128
217,0.39486538155855133
218,0.39570302189683165
219,0.392050461445462
220,0.3285902188923237
221,0.32787716255563965
222,0.3870042908233314
223,0.38496616326944433
224,0.32287997909552923
225,0.3766027624291273
226,0.37630916339711734
227,0.32631689905674693
228,0.3809904041638826
229,0.38352071016910416
230,0.3862322024795994
231,0.38991048880737617
232,0.3926018097798926
233,0.3869696163748632
234,0.380606732257393
235,0.3728426566594765
236,0.31345240103624955
237,0.30998488653285117
238,0.36409118831361226
239,0.29787516869465847
240,0.2955411705108046
241,0.3595539760164382
242,0.2943388916916372
243,0.2938008885477411
244,0.3751726952097051
245,0.37308594123498895
246,0.37071871718082866
247,0.37063656700249054
248,0.29361533677212737
249,0.29258378147276926
250,0.29471730465633084
251,0.37134214620361544
252,0.29852198443548456
253,0.3731390461315006
254,0.3566511766412387
255,0.3589534352521971
256,0.3618238345645493
257,0.3644218990968139
258,0.3578024659481147
259,0.3637390765872156
260,0.3600005789229975
261,0.35545442894161305
262,0.35478091988817656
263,0.3541427941512432
264,0.3530361237688985
265,0.35161763887612874
266,0.3509352764888551
267,0.3508658574939098
268,0.34833020803323117
269,0.34599220224948013
270,0.34370150370964764
271,0.3409766993691885
272,0.3404027460738283
273,0.3404731294518928
274,0.3402153159143999
275,0.34042149198995897
276,0.3398290756668671
277,0.3413369726377469
278,0.342829002190242
279,0.3418494412732052
280,0.3425916460539667
281,0.34267106836434635
282,0.34289112010115336
283,0.3396179521177525
284,0.3345648974010824
285,0.3304151440028027
286,0.3259714806833153
287,0.3248437575740127
288,0.32570701257077844
289,0.32300443805245965
290,0.3227352604707908
291,0.3208120623029125
292,0.31951320851059817
293,0.3174221376522404
294,0.3172644721095754
295,0.31515601084613043
296,0.3112190317236884
297,0.3094956613713155
298,0.30990123760859706
299,0.3090071608865998
300,0.30953029622387096
301,0.31074050306785234
302,0.3114494902952176
303,0.31193635791836144
304,0.31219756610995747
305,0.3064742766351934
306,0.30121373711354277
307,0.29729543785242596
308,0.29469897058503775
309,0.29373308836051776
310,0.29299338915078316
311,0.2907733232208548
312,0.28892019731527985
313,0.28726658117712267
314,0.28456542311806493
315,0.281129236461917
316,0.2787420779068322
317,0.27878264188011614
318,0.2785154155305054
319,0.27860662532315117
320,0.2785636803892271
321,0.2794306138974703
322,0.28008540501156404
323,0.2796501409301784
324,0.27991214439285084
325,0.27982922858378834
326,0.27817340646214883
327,0.26892553396236935
328,0.2644024398321928
329,0.2630833276698028
330,0.260213746962445
331,0.25946062778229007
332,0.25651405869565913
333,0.25483483951956926
334,0.2541525379992056
335,0.2525207507799132
336,0.24861091063709548
337,0.24683855632491825
338,0.24695789893339654
339,0.24754229617824486
340,0.24642136560156366
341,0.247283626950063
342,0.24803303872778515
343,0.24867389830078834
344,0.249020547768983
345,0.2491334529679168
346,0.2492055110598271
347,0.2492008281109357
348,0.24944551751350091
349,0.24622361656281225
350,0.24120588233691997
351,0.23771755600649397
352,0.23461716380513847
353,0.23332050053812645
354,0.2319792722617468
355,0.2300247341977996
356,0.22776895225525196
357,0.22591667400443674
358,0.22442098508064634
359,0.22122265134338823
360,0.21719124480920554
361,0.21681808707474656
362,0.21739650034510985
363,0.21657723222125014
364,0.21674825743497553
365,0.21754024540543168
366,0.2181766030182054
367,0.2184010671075263
368,0.21834648093781117
369,0.21811993986842532
370,0.2141085484778654
371,0.20905553977345612
372,0.2044602624080801
373,0.20310422274317957
374,0.20081691687824021
375,0.19834350036894577
376,0.19722392700058264
377,0.19610719537027071
378,0.1948896380575144
379,0.19425310367895846
380,0.192381518104335
381,0.18982619515628138
382,0.19258426386756705
383,0.1948224523846107
384,0.1961140812481044
385,0.19689870217647884
386,0.19701389989243806
387,0.19691740314236247
388,0.19655515305980004
389,0.1964569395923962
390,0.19634451391825666
391,0.1963715480625648
392,0.19641203833476178
393,0.1964220176581578
394,0.19644492985895373
395,0.196426343691045
396,0.19643260869137957
397,0.1964249787618346
398,0.19643447409911746
399,0.19642515601102592
400,0.19642500376930067
401,0.1964209079858792
